city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Avera,4231997,US,1619410531,33.194,-82.5271,57.36,59.0,1,67,8.05
Urucará,3385670,BR,1619410634,-2.5364,-57.76,74.52,74.52,98,97,1.41
Ormond Beach,4167178,US,1619410635,29.2858,-81.0559,69.57,70.0,1,73,8.05
Cap Malheureux,934649,MU,1619410635,-19.9842,57.6142,77.0,77.0,100,85,5.99
Esperance,2071860,AU,1619410499,-33.8667,121.9,84.2,84.2,36,21,14.97
Guánica,4565090,PR,1619410636,17.9716,-66.908,75.65,78.01,8,64,8.08
Stokmarknes,3136690,NO,1619410636,68.5646,14.9108,32.13,36.0,100,80,3.36
Cedar Falls,4850699,US,1619410636,42.5278,-92.4455,46.6,46.99,1,49,17.27
Sisimiut,3419842,GL,1619410637,66.9395,-53.6735,38.41,38.41,97,76,5.75
Atar,2381334,MR,1619410637,20.5169,-13.0499,75.58,75.58,0,22,6.76
Nelson Bay,2155562,AU,1619410474,-32.7167,152.15,69.12,70.0,40,60,10.36
Kaeo,2189343,NZ,1619410414,-35.1,173.7833,64.99,64.99,16,71,5.99
San Andrés,3670218,CO,1619410638,12.5847,-81.7006,80.6,80.6,40,78,9.22
